round,shortname,attackers,victims,firstBloodTeamId,firstBloodTimestamp
81,ArcaneLink,0,0,,
81,MaScroll-1,0,0,,
81,MaScroll-2,1,1,6,2023-08-03T18:51:37.167Z
81,NorthernFiles,0,0,,
81,UberPendragon,0,0,,
82,SeaOfHackerz,6,8,7,2023-08-03T16:38:51.493Z
82,ArcaneLink,0,0,,
82,MaScroll-1,0,0,,
82,MaScroll-2,0,0,6,2023-08-03T18:51:37.167Z
82,NorthernFiles,0,0,,
82,UberPendragon,0,0,,
83,SeaOfHackerz,6,7,7,2023-08-03T16:38:51.493Z
83,ArcaneLink,0,0,,
83,MaScroll-1,0,0,,
83,MaScroll-2,0,0,6,2023-08-03T18:51:37.167Z
83,NorthernFiles,0,0,,
83,UberPendragon,0,0,,
84,SeaOfHackerz,6,7,7,2023-08-03T16:38:51.493Z
84,ArcaneLink,0,0,,
84,MaScroll-1,0,0,,
84,MaScroll-2,0,0,6,2023-08-03T18:51:37.167Z
84,NorthernFiles,0,0,,
84,UberPendragon,0,0,,
85,SeaOfHackerz,6,6,7,2023-08-03T16:38:51.493Z
85,ArcaneLink,0,0,,
85,MaScroll-1,0,0,,
85,MaScroll-2,0,0,6,2023-08-03T18:51:37.167Z
85,NorthernFiles,0,0,,
85,UberPendragon,0,0,,
86,SeaOfHackerz,6,6,7,2023-08-03T16:38:51.493Z
86,ArcaneLink,0,0,,
86,MaScroll-1,0,0,,
86,MaScroll-2,0,0,6,2023-08-03T18:51:37.167Z
86,NorthernFiles,0,0,,
86,UberPendragon,0,0,,
87,SeaOfHackerz,6,6,7,2023-08-03T16:38:51.493Z
87,ArcaneLink,0,0,,
87,MaScroll-1,0,0,,
87,MaScroll-2,0,0,6,2023-08-03T18:51:37.167Z
87,NorthernFiles,0,0,,
87,UberPendragon,0,0,,
88,SeaOfHackerz,6,6,7,2023-08-03T16:38:51.493Z
88,ArcaneLink,0,0,,
88,MaScroll-1,0,0,,
88,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
88,NorthernFiles,0,0,,
88,UberPendragon,0,0,,
89,SeaOfHackerz,6,6,7,2023-08-03T16:38:51.493Z
89,ArcaneLink,0,0,,
89,MaScroll-1,0,0,,
89,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
89,NorthernFiles,0,0,,
89,UberPendragon,0,0,,
90,SeaOfHackerz,6,6,7,2023-08-03T16:38:51.493Z
90,ArcaneLink,0,0,,
90,MaScroll-1,0,0,,
90,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
90,NorthernFiles,0,0,,
90,UberPendragon,0,0,,
91,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
91,ArcaneLink,0,0,,
91,MaScroll-1,0,0,,
91,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
91,NorthernFiles,0,0,,
91,UberPendragon,0,0,,
92,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
92,ArcaneLink,0,0,,
92,MaScroll-1,0,0,,
92,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
92,NorthernFiles,0,0,,
92,UberPendragon,0,0,,
93,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
93,ArcaneLink,0,0,,
93,MaScroll-1,0,0,,
93,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
93,NorthernFiles,0,0,,
93,UberPendragon,0,0,,
94,SeaOfHackerz,4,5,7,2023-08-03T16:38:51.493Z
94,ArcaneLink,0,0,,
94,MaScroll-1,0,0,,
94,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
94,NorthernFiles,0,0,,
94,UberPendragon,0,0,,
95,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
95,ArcaneLink,0,0,,
95,MaScroll-1,0,0,,
95,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
95,NorthernFiles,0,0,,
95,UberPendragon,0,0,,
96,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
96,ArcaneLink,0,0,,
96,MaScroll-1,0,0,,
96,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
96,NorthernFiles,0,0,,
96,UberPendragon,0,0,,
97,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
97,ArcaneLink,0,0,,
97,MaScroll-1,0,0,,
97,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
97,NorthernFiles,0,0,,
97,UberPendragon,0,0,,
98,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
98,ArcaneLink,0,0,,
98,MaScroll-1,0,0,,
98,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
98,NorthernFiles,0,0,,
98,UberPendragon,0,0,,
99,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
99,ArcaneLink,0,0,,
99,MaScroll-1,0,0,,
99,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
99,NorthernFiles,0,0,,
99,UberPendragon,0,0,,
100,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
100,ArcaneLink,0,0,,
100,MaScroll-1,0,0,,
100,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
100,NorthernFiles,0,0,,
100,UberPendragon,0,0,,
101,SeaOfHackerz,4,5,7,2023-08-03T16:38:51.493Z
101,ArcaneLink,0,0,,
101,MaScroll-1,0,0,,
101,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
101,NorthernFiles,0,0,,
101,UberPendragon,0,0,,
102,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
102,ArcaneLink,0,0,,
102,MaScroll-1,0,0,,
102,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
102,NorthernFiles,0,0,,
102,UberPendragon,0,0,,
103,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
103,ArcaneLink,0,0,,
103,MaScroll-1,0,0,,
103,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
103,NorthernFiles,0,0,,
103,UberPendragon,0,0,,
104,SeaOfHackerz,4,5,7,2023-08-03T16:38:51.493Z
104,ArcaneLink,0,0,,
104,MaScroll-1,0,0,,
104,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
104,NorthernFiles,0,0,,
104,UberPendragon,0,0,,
